Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2024-01-17,62,1783.7947018469256,4107.362929099716,29.0,29,,,,0.4622449679061104,1.908319649803276,0.2615283118022613,5564,,,,,3461079,125985,
2024-01-18,71,1770.7064383849372,4015.4953734481473,20.0,20,,,,0.7524850397749618,1.9399050040983539,0.2501575156369456,5578,,,,,3506933,,
2024-01-19,14,1607.9695018111618,791.1229880217732,4.0,4,,,,0.3637217822554114,1.865673020984867,0.2501575156369456,1190,,,,,461387,,
2024-01-20,34,1685.5637363398546,2009.582549990254,9.0,8,,,,0.4037435795469517,1.8401595256950694,0.2786309432730096,3045,,,,,1914084,,
2024-01-21,4,1592.249065166274,347.36951111457677,,,,,,0.3311724953419362,1.0389559165462818,0.27820643309668325,699,,,,,168355,,
2024-01-22,97,1890.1497809231098,5939.508187615565,34.0,34,,,,0.5122769576667555,1.7811187447668546,0.2615283118022613,8323,,,,,5741478,,
2024-01-23,,1583.2499642372134,59.355555982948005,,,,,,0.2847429770536629,0.3411238500283891,0.2501575156369456,232,,,,,,,
2024-01-24,81,1836.2290612542063,4796.757093253699,26.0,25,,,,0.505640741944716,2.0986897167834506,0.2501575156369456,6762,,,,,4732730,,
2024-01-25,56,1752.4375098520575,3218.3064176486796,18.0,18,,,,0.5461547496823461,2.2409141122066427,0.2501575156369456,4632,,,,,3163342,,
2024-01-26,7,1601.7085044113994,386.5337742495291,1.0,1,,,,0.3512154923818897,1.6213408760758232,0.2501575156369456,650,,,,,345322,,
2024-01-27,83,1790.1422224170215,5249.974130496651,35.0,34,,,,0.40697750899063095,2.0056141320701397,0.2501575156369456,7222,,,,,3842590,,
2024-01-28,90,1911.7343371488953,8613.285808125336,100.0,66,,,,0.5523399655688593,2.5563195685830116,0.2615283118022613,10670,,,,,5184575,,
2024-01-29,12,1624.4041134777708,647.0373771092466,3.0,3,,,,0.445207631292792,1.7370711546128557,0.2956407002982085,1069,,,,,769911,,
2024-01-30,86,1885.960439285553,7740.703754524092,83.0,52,,,,0.9157914034322603,2.5727371830659957,0.27289910796757705,9580,,,,,4781970,,
2024-01-31,75,1822.5120281766203,4601.8182801236435,28.0,28,,,,0.6693001199491128,1.7086160609566357,0.2511104475919098,6293,,,,,4474671,,
2024-02-01,74,1776.1046521396706,4331.638546618852,25.0,25,,,,0.4789151441261757,1.6757493578629639,0.2615283118022613,6118,,,,,3607920,,
2024-02-02,73,1896.238424066362,8415.637742138868,100.0,53,,,,0.5305254034607144,2.8752373941415703,0.27289910796757705,9798,,,,,4299582,59986,
2024-02-03,59,1780.6817680989109,3034.5669624027914,12.0,12,,,,0.379220666533085,1.643759576153272,0.2615283118022613,4429,,,,,3693551,,
2024-02-04,3,1595.9694026950829,110.52413872686871,,,,,,0.5250181299358109,0.7305260465349714,0.28426990413289277,311,,,,,237955,,
2024-02-05,46,1720.6049404078135,2687.1023336699322,14.0,14,,,,0.5392518443806356,1.5987294656478883,0.2501575156369456,3949,,,,,2569635,,
2024-02-06,91,1850.4199624399942,6037.543729176442,42.0,41,,,,0.7378474066891307,2.122421731839792,0.2501575156369456,8143,,,,,4985902,,
2024-02-07,38,1684.500185502995,2312.5346578494627,14.0,14,,,,0.5439301180597768,1.7974517862503734,0.3295867246251756,3179,,,,,1892593,,
2024-02-08,84,1848.5393235844178,5391.086402829038,35.0,33,,,,0.5073860063527474,2.4995522893474096,0.2501575156369456,7507,,,,,4962447,,
2024-02-09,36,1688.2024869853176,1726.4594484467827,2.0,2,,,,0.6681166841648284,1.5269555770611332,0.2943542625766604,2663,,,,,1963450,,
2024-02-10,55,1710.8985398825575,2444.0664618384953,10.0,10,,,,0.4339356151455845,1.4765773725775728,0.2501575156369456,3675,,,,,2388047,,
2024-02-11,19,1644.6381806815575,815.2134897246688,1.0,1,,,,0.4420737871296754,1.4222871095161764,0.28426990413289277,1404,,,,,1148450,,
2024-02-12,98,1867.5319977988468,5602.564321889308,27.0,27,,,,0.5102948165407164,1.6453821825110617,0.2501575156369456,8120,,,,,5318329,,
2024-02-13,96,2335.350641170825,11331.750302201834,111.0,63,,,,0.8338386573363304,3.514850698330369,0.2615283118022613,11638,,,,,3031261,2855016,
2024-02-14,,1583.2499642372131,19.785185327649337,,,,,,0.3297530887941556,0.3297530887941556,0.3297530887941556,124,,,,,,,
2024-02-15,93,2288.9525752143854,11361.66143140386,109.0,64,,,,0.7121421854867686,3.3000839844518652,0.2615283118022613,11817,,,,,2519069,2831938,
2024-02-16,39,1706.3279236162907,2293.0499762759446,11.0,11,,,,0.526026807716073,2.5245766172046302,0.28426990413289277,3160,,,,,2302540,,
2024-02-17,86,1829.961007750166,4544.903785559214,18.0,18,,,,0.5575982717180449,1.9300348419582551,0.2501575156369456,6359,,,,,4615466,,
2024-02-18,73,2244.7397504604137,10152.735421849515,104.0,56,,,,0.5681138613293396,3.3636050736216285,0.2501575156369456,9801,,,,,1452119,2792999,
2024-02-19,35,1694.6959678001213,2341.566499709223,16.0,16,,,,0.48649706569985735,1.9886560255690258,0.2615283118022613,3290,,,,,2082650,,
2024-02-20,7,1598.836929215282,350.8361192729983,2.0,2,,,,0.33757060376863807,1.5431475357124806,0.30701149646352416,608,,,,,291601,,
2024-02-21,38,1700.6012764896877,2371.483193349011,16.0,16,,,,0.8021175394249214,1.7960023342690299,0.27289910796757705,3274,,,,,2195406,,
2024-02-22,8,1600.14762124435,364.80502442878316,1.0,1,,,,0.9312416934559065,1.5235854836976883,0.3014088451584833,616,,,,,316122,,
2024-02-23,42,1675.3518749137872,2526.9745833711227,19.0,19,,,,0.4043350288398456,1.6425445392672389,0.2501575156369456,3450,,,,,1723041,,
2024-02-24,74,2278.7620321192753,10387.524561184633,114.0,62,,,,0.7352336346641922,3.348954983337473,0.28426990413289277,10193,,,,,1107719,3329979,
2024-02-25,87,2290.344329853313,10695.982633194235,108.0,59,,,,0.8116961845654781,3.457259184285054,0.2615283118022613,10585,,,,,2048250,3000356,
2024-02-26,50,1697.430556084957,3049.830199535304,21.0,21,,,,0.437049813399107,1.6378760820309777,0.25123689485236955,4222,,,,,2136049,,
2024-02-27,57,1741.9257973079366,2989.751089889445,16.0,16,,,,0.518785290244831,2.223201415390513,0.2615283118022613,4276,,,,,2966769,,
2024-02-28,65,1777.351572134232,4318.301786276612,33.0,33,,,,0.510457027287425,1.8763189059708139,0.2615283118022613,5839,,,,,3438987,60083,
2024-02-29,45,1733.544401646162,2942.837672516844,20.0,20,,,,0.6746065196490559,1.7153160553104498,0.25041720820951,4081,,,,,2810177,,
2024-03-01,95,2337.177738762933,11486.136969907688,110.0,63,,,,0.5619224161382008,3.3148578435338587,0.27289910796757705,11681,,,,,2993479,3008223,
2024-03-02,40,1708.8747084899796,2317.6098955545126,14.0,14,,,,0.4074351635000551,1.4870449680350302,0.2545700630083869,3467,,,,,2350186,,
2024-03-03,121,2378.153317683773,12520.244676048418,116.0,68,,,,0.7456385600387644,3.2864423221420793,0.2615283118022613,13315,,,,,3797732,3026971,
2024-03-04,28,1674.0475276880138,1679.1757442247933,8.0,8,,,,0.8717672041518782,1.8023288420436916,0.3183822926288399,2390,,,,,1698639,,
2024-03-05,15,1624.0721661910868,629.6507762610197,1.0,1,,,,0.5040629148103087,1.6081095067790645,0.2705185447735697,1024,,,,,763701,,
2024-03-06,56,1785.5032406725097,3989.3346272871395,29.0,25,,,,0.6603886133806418,1.937141951018859,0.2501575156369456,5288,,,,,3635697,61018,
2024-03-07,41,1700.77236919739,2677.5660266381733,17.0,17,,,,0.6723286122175433,1.821648381200687,0.2501575156369456,3632,,,,,2198451,,
2024-03-08,112,1945.2342460529178,6224.904144109082,34.0,33,,,,0.5801784919159207,1.8439561834557785,0.2501575156369456,8598,,,,,6367067,168430,
2024-03-09,82,2120.6391112468596,8702.515083782391,82.0,47,,,,0.852343601596622,3.2114405730342983,0.2501575156369456,9253,,,,,2219695,2145127,
2024-03-10,61,2221.6640997924133,9577.616049322798,100.0,53,,,,0.7907824766122941,3.2843459458667996,0.2615283118022613,8881,,,,,732517,2913504,
